nom,age,ori,haut,poids,s20,s21,v20,v21,rupt,c20,c21,lig20,lig21,div20,div21
T. Teuma,27,Malta,176,72,,8000.0,,1600000.0,2400000.0,,Royale Union Saint-Gilloise,,Belgian Jupiler Pro League,,1.0
A. Shabanov,29,Ukraine,190,83,750.0,500.0,2400000.0,1300000.0,3000000.0,Dynamo Kyiv,Dynamo Kyiv,Ukrainian Premier League,Ukrainian Premier League,1.0,1.0
Pol Lozano,21,Spain,176,68,1000.0,7000.0,1300000.0,3100000.0,,RCD Espanyol de Barcelona,Girona FC,Spanish Segunda División,Spanish Segunda División,2.0,2.0
C. Kobald,23,Austria,186,80,3000.0,6000.0,1500000.0,1900000.0,3100000.0,Karlsruher SC,Karlsruher SC,German 2. Bundesliga,German 2. Bundesliga,2.0,2.0
C. Gutiérrez,22,Mexico,177,71,2000.0,6000.0,1400000.0,3400000.0,6500000.0,Club Universidad Nacional,Club Universidad Nacional,Mexican Liga MX,Mexican Liga MX,1.0,1.0
O. Boussaid,21,Belgium,168,62,2000.0,7000.0,1100000.0,3100000.0,5300000.0,FC Utrecht,FC Utrecht,Holland Eredivisie,Holland Eredivisie,1.0,1.0
Y. Takaoka,25,Japan,181,72,850.0,5000.0,875000.0,1400000.0,1900000.0,Sagan Tosu,Yokohama F. Marinos,Japanese J. League Division 1,Japanese J. League Division 1,1.0,1.0
Elady,30,Spain,176,75,4000.0,6000.0,1200000.0,1400000.0,2200000.0,FC Cartagena,CD Tenerife,Spanish Segunda División,Spanish Segunda División,2.0,2.0
L. Czyborra,22,Germany,178,72,14000.0,7000.0,3000000.0,2700000.0,,Genoa,DSC Arminia Bielefeld,Italian Serie A,German 1. Bundesliga,1.0,1.0
M. Pellegrini,21,Argentina,176,71,3000.0,3000.0,2900000.0,3100000.0,,Inter Miami CF,Estudiantes de La Plata,USA Major League Soccer,Argentina Primera División,1.0,1.0
K. Castañeda,21,Mexico,174,79,6000.0,8000.0,2500000.0,3100000.0,5900000.0,Deportivo Toluca,Deportivo Toluca,Mexican Liga MX,Mexican Liga MX,1.0,1.0
M. Busi,21,Belgium,182,75,5000.0,9000.0,2900000.0,2100000.0,4200000.0,Royal Charleroi S.C.,Parma,Belgian Jupiler Pro League,Italian Serie B,1.0,2.0
M. Comba,27,Argentina,170,68,7000.0,8000.0,1400000.0,1500000.0,,Gimnasia y Esgrima La Plata,Newell's Old Boys,Argentina Primera División,Argentina Primera División,1.0,1.0
Stoichkov,27,Spain,178,71,6000.0,6000.0,2000000.0,1600000.0,2700000.0,RCD Mallorca,SD Eibar,Spanish Segunda División,Spanish Segunda División,2.0,2.0
Diego Pituca,28,Brazil,175,69,,5000.0,,1400000.0,1800000.0,,Kashima Antlers,,Japanese J. League Division 1,,1.0
C. Bassett,19,United States,180,67,550.0,2000.0,1000000.0,3000000.0,5100000.0,Colorado Rapids,Colorado Rapids,USA Major League Soccer,USA Major League Soccer,1.0,1.0
